ClientID,Age,YearsAtCamp,Race,ZipCode,Age_Group,Test_Type,SurveyYear,RateQ1,RateQ2,RateQ3,RateQ4,RateQ5,RateQ6,RateQ7,RateQ8,RateQ9,RateQ10,RateQ11,RateQ12,RateQ13,RateQ14,RateQ15,RateQ16,RateQ17,RateQ18,RateQ19,RateQ20,RateQ21,RateQ22,RateQ23,RateQ24,RateQ25,LikertQ1,LikertQ2,LikertQ3
27,14,8,Caucasian,68104,Older Group,Pre Test,2019,7,6,6,5,6,6,7,5,6,7,7,7,7,7,6,6,7,7,7,6,7,6,6,7,7,4,4,3
28,13,5,Caucasian,68164,Older Group,Pre Test,2019,3,3,4,5,6,5,2,6,2,6,4,7,5,6,3,6,2,6,6,2,6,3,1,4,7,3,2,2
30,15,2,Caucasian,68341,Older Group,Pre Test,2019,3,3,4,3,5,4,3,4,2,5,3,4,4,3,3,4,3,5,4,4,5,3,2,4,4,4,3,2
31,16,8,Caucasian,68105,Older Group,Pre Test,2019,6,6,7,7,6,5,6,5,4,7,7,7,7,7,7,5,7,7,7,7,7,3,5,4,7,3,4,4
32,14,2,Black,68111,Older Group,Pre Test,2019,7,5,4,6,5,7,4,6,5,7,1,6,4,4,7,6,7,6,7,5,7,7,7,6,5,5,2,3
33,16,7,Caucasian,68046,Older Group,Pre Test,2019,6,6,4,6,6,6,5,5,2,7,5,7,7,7,6,7,7,6,5,5,4,7,1,3,5,1,1,1
36,16,8,Caucasian,68502,Older Group,Pre Test,2019,5,5,4,3,6,5,4,3,4,5,2,4,3,4,5,2,2,4,2,4,4,4,3,2,3,2,2,2
37,16,6,Caucasian,68901,Older Group,Pre Test,2019,2,2,2,3,4,3,2,4,2,5,3,4,4,4,6,3,5,5,4,5,5,3,2,4,4,3,2,2
1,14,2,Black,68111,Older Group,Post Test,2019,5,6,5,5,7,6,4,5,6,3,7,5,6,6,7,4,5,5,7,5,6,5,4,6,6,2,1,2
4,14,3,Caucasian,68106,Older Group,Post Test,2019,7,7,6,7,6,7,7,7,6,7,5,7,7,7,7,7,7,6,7,7,7,7,5,7,7,4,3,3
5,15,4,Black,68111,Older Group,Post Test,2019,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,5,7,7,2,2,1
6,13,3,Caucasian,68132,Older Group,Post Test,2019,3,3,2,2,3,2,2,6,1,4,5,5,7,4,4,1,2,4,6,2,4,1,3,3,5,2,2,2
7,14,4,Caucasian,68132,Older Group,Post Test,2019,6,6,5,6,7,7,6,6,5,6,5,6,7,7,6,5,6,6,6,6,7,5,4,7,6,3,3,3
8,14,6,Caucasian,68105,Older Group,Post Test,2019,7,6,7,6,7,5,6,6,7,7,6,7,7,7,7,7,6,7,7,7,7,7,6,7,7,3,2,2
10,14,8,Caucasian,68106,Older Group,Post Test,2019,6,5,5,6,6,5,6,6,4,7,6,7,7,7,6,5,6,7,6,5,4,5,3,6,7,1,1,1
11,14,7,Black,68005,Older Group,Post Test,2019,6,5,7,7,7,7,5,4,6,5,7,7,7,6,7,7,5,3,1,5,7,6,4,6,7,4,4,3
12,15,3,Caucasian,68104,Older Group,Post Test,2019,3,5,3,3,5,4,3,2,1,4,2,3,5,4,4,3,4,4,5,4,6,2,1,5,4,1,1,1
13,15,3,Caucasian,68114,Older Group,Post Test,2019,7,7,7,7,7,6,6,7,4,7,6,7,7,7,4,3,3,7,7,5,7,4,6,5,7,4,4,5
14,13,6,Black,68112,Older Group,Post Test,2019,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
15,14,6,Caucasian,68105,Older Group,Post Test,2019,7,7,6,7,7,6,7,6,6,7,7,7,7,7,7,7,6,7,7,6,7,6,6,7,7,1,1,1
16,13,5,Caucasian,68105,Older Group,Post Test,2019,6,4,7,6,5,5,6,7,4,7,7,7,6,7,7,7,7,5,7,6,7,6,3,7,7,1,1,1
17,14,2,Caucasian,68137,Older Group,Post Test,2019,6,5,5,7,7,7,7,6,4,7,7,7,7,7,7,7,7,4,4,7,7,5,7,7,7,3,1,1
18,14,3,Multiracial,68124,Older Group,Post Test,2019,5,6,6,5,6,6,6,5,5,5,5,6,5,6,6,5,5,5,6,6,6,5,6,6,6,4,2,2
19,13,4,Caucasian,68105,Older Group,Post Test,2019,6,5,5,6,6,6,5,5,4,5,5,6,7,6,6,4,5,6,6,6,6,5,3,6,6,3,1,2
20,13,4,Caucasian,68153,Older Group,Post Test,2019,4,4,4,5,4,3,3,3,3,5,5,4,5,5,5,4,5,5,6,4,4,3,2,4,6,1,1,1
21,13,2,Black,68005,Older Group,Post Test,2019,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,1,1,1
22,14,6,Caucasian,68105,Older Group,Post Test,2019,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,6,5,7,7,5,7,6,7,7,7,2,2,1
23,15,3,Caucasian,68025,Older Group,Post Test,2019,6,6,5,6,7,6,6,6,6,7,6,4,6,6,6,7,7,7,7,5,7,6,7,6,6,3,1,2
25,15,4,Caucasian,68510,Older Group,Post Test,2019,7,6,5,5,5,7,5,4,5,7,5,6,5,5,5,6,4,4,6,5,5,4,3,5,6,1,1,1
27,14,8,Caucasian,68104,Older Group,Post Test,2019,7,7,6,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,2,2,1
28,13,5,Caucasian,68164,Older Group,Post Test,2019,4,6,4,4,6,7,3,7,3,7,5,7,7,6,3,6,5,6,7,4,7,3,2,5,7,3,3,3
30,15,2,Caucasian,68341,Older Group,Post Test,2019,4,4,3,4,5,4,3,4,2,5,3,4,5,5,6,5,3,4,4,2,3,3,2,4,4,2,3,2
31,16,8,Caucasian,68105,Older Group,Post Test,2019,7,5,6,7,7,4,3,3,3,6,7,5,6,7,5,4,5,7,6,5,7,6,5,7,7,2,2,2
32,14,2,Black,68111,Older Group,Post Test,2019,7,6,6,7,7,7,6,7,6,7,5,7,7,7,7,7,7,7,6,5,5,7,7,7,7,1,1,1
33,16,7,Caucasian,68046,Older Group,Post Test,2019,6,7,4,6,6,6,6,5,6,5,2,7,6,5,7,7,7,6,7,2,4,5,1,4,6,1,1,1
36,16,8,Caucasian,68502,Older Group,Post Test,2019,5,6,5,6,6,6,6,4,5,5,3,5,5,5,6,2,4,5,5,6,6,5,4,4,5,2,2,2
37,16,6,Caucasian,68901,Older Group,Post Test,2019,5,5,5,6,6,5,6,3,4,5,4,6,6,5,5,4,5,6,5,6,5,5,4,5,6,3,2,1
38,11,2,Caucasian,68105,Younger Group,Pre Test,2019,5,4,7,5,6,5,5,4,2,5,2,4,5,2,7,3,5,6,7,5,5,2,6,5,6,2,2,1
39,12,2,Caucasian,68152,Younger Group,Pre Test,2019,4,6,3,3,7,4,3,5,1,6,2,4,3,5,7,5,6,6,5,1,4,2,1,1,5,1,1,1
40,10,2,Caucasian,68105,Younger Group,Pre Test,2019,3,2,4,5,3,4,3,5,3,4,4,3,4,7,7,6,4,5,6,4,7,6,3,5,5,4,2,2
44,12,2,Caucasian,68152,Younger Group,Pre Test,2019,6,5,6,4,6,7,6,6,6,7,5,6,7,6,6,6,6,7,7,4,6,5,6,6,7,2,2,2
46,10,2,Caucasian,68132,Younger Group,Pre Test,2019,6,5,6,5,7,5,6,6,7,7,5,7,6,6,7,6,6,6,7,5,5,4,4,4,6,5,4,5
47,12,2,Multiracial,68105,Younger Group,Pre Test,2019,4,3,2,3,5,3,3,3,4,6,3,4,4,4,4,5,4,5,7,3,5,2,3,5,5,5,2,2
51,12,3,Caucasian,68105,Younger Group,Pre Test,2019,4,5,5,4,5,5,6,5,3,6,7,6,7,7,6,6,7,6,7,5,7,5,4,7,7,3,2,1
52,10,2,Caucasian,68105,Younger Group,Pre Test,2019,2,3,5,7,4,6,1,3,1,6,3,5,5,4,5,3,5,4,5,3,6,2,1,3,5,3,2,3
54,11,2,Multiracial,68124,Younger Group,Pre Test,2019,2,2,3,1,4,5,1,1,3,4,1,1,2,1,4,1,4,5,1,2,7,1,1,4,3,3,2,3
57,12,3,Multiracial,68108,Younger Group,Pre Test,2019,4,5,4,6,5,7,3,3,4,5,5,3,5,4,5,5,5,5,3,3,4,3,2,3,5,3,2,2
65,11,2,Caucasian,68114,Younger Group,Pre Test,2019,4,5,5,4,6,6,5,6,3,7,5,5,6,6,6,4,6,7,5,4,5,5,5,6,7,2,2,2
67,12,3,Black,68144,Younger Group,Pre Test,2019,5,5,4,5,6,4,5,6,5,4,6,5,4,5,7,6,5,4,5,5,4,3,3,4,7,4,5,2
70,11,2,Caucasian,68105,Younger Group,Pre Test,2019,3,7,3,5,7,7,4,1,3,5,7,7,6,7,7,5,7,7,7,4,7,3,5,5,5,2,3,1
76,11,2,Caucasian,68130,Younger Group,Pre Test,2019,3,5,5,7,7,6,5,6,3,7,2,4,5,4,5,5,4,7,6,3,6,2,2,4,3,3,4,3
78,11,2,Black,68110,Younger Group,Pre Test,2019,7,6,3,7,7,4,5,7,1,7,7,7,7,7,7,7,7,7,1,1,1,7,7,7,7,5,1,1
79,11,2,Caucasian,68154,Younger Group,Pre Test,2019,4,6,7,6,5,5,4,4,3,5,5,5,6,6,5,5,6,4,5,3,6,2,5,6,6,3,2,3
80,11,2,Multiracial,68124,Younger Group,Pre Test,2019,5,5,5,6,6,5,4,4,4,6,6,5,6,7,6,5,5,6,6,5,7,6,5,5,7,3,3,3
81,11,2,Caucasian,68118,Younger Group,Pre Test,2019,5,7,2,4,4,6,6,5,1,7,2,7,7,2,7,7,7,5,7,4,4,5,2,2,2,1,1,1
38,11,2,Caucasian,68105,Younger Group,Post Test,2019,6,3,7,4,6,5,5,6,2,6,2,5,4,5,7,5,5,5,7,4,5,4,5,3,5,2,1,1
39,12,2,Caucasian,68152,Younger Group,Post Test,2019,4,5,1,2,7,5,2,6,1,6,2,5,5,2,7,5,6,6,4,1,3,1,1,1,5,1,1,1
40,10,2,Caucasian,68105,Younger Group,Post Test,2019,6,4,4,7,6,6,3,4,4,3,4,5,5,6,5,5,3,6,5,4,5,4,3,4,6,3,4,3
44,12,2,Caucasian,68152,Younger Group,Post Test,2019,6,6,6,4,6,7,5,6,6,6,6,6,7,7,7,5,7,7,7,4,7,4,6,6,7,2,2,2
46,10,2,Caucasian,68132,Younger Group,Post Test,2019,6,7,6,7,6,5,6,6,5,5,7,6,6,7,7,5,5,6,7,4,6,4,4,6,7,2,2,1
47,12,2,Multiracial,68105,Younger Group,Post Test,2019,3,5,1,3,5,4,2,3,5,5,5,4,5,2,4,6,6,4,7,4,5,2,2,5,4,2,2,2
51,12,3,Caucasian,68105,Younger Group,Post Test,2019,5,6,7,7,7,6,7,7,1,7,7,7,7,7,7,7,7,7,7,3,7,3,1,6,7,1,1,1
52,10,2,Caucasian,68105,Younger Group,Post Test,2019,5,6,4,7,7,6,2,6,5,7,6,5,7,4,7,6,6,6,7,5,7,5,6,7,7,1,1,1
54,11,2,Multiracial,68124,Younger Group,Post Test,2019,7,5,6,6,7,7,4,5,2,1,4,2,7,2,7,3,1,7,5,4,7,7,4,7,5,3,3,3
57,12,3,Multiracial,68108,Younger Group,Post Test,2019,3,4,4,5,5,6,4,2,2,6,3,5,4,5,6,6,4,5,2,2,4,4,2,5,6,2,1,1
65,11,2,Caucasian,68114,Younger Group,Post Test,2019,5,4,3,5,6,5,4,7,3,7,7,5,5,6,6,6,7,5,5,4,7,5,4,4,7,2,2,1
67,12,3,Black,68144,Younger Group,Post Test,2019,5,5,4,5,5,5,4,6,6,5,6,6,6,5,6,5,6,5,4,6,7,3,5,3,7,4,3,4
70,11,2,Caucasian,68105,Younger Group,Post Test,2019,6,7,5,7,7,6,3,1,4,6,7,5,7,6,7,7,7,7,7,6,7,5,6,6,6,2,2,1
76,11,2,Caucasian,68130,Younger Group,Post Test,2019,4,4,3,6,6,5,3,5,2,7,1,3,3,2,5,4,4,7,7,1,7,2,4,4,2,3,3,3
78,11,2,Black,68110,Younger Group,Post Test,2019,7,7,1,7,7,1,1,7,7,7,7,4,4,7,7,7,7,7,4,1,4,4,4,5,6,2,2,2
79,11,2,Caucasian,68154,Younger Group,Post Test,2019,6,7,7,7,5,6,5,3,4,6,5,6,7,7,6,6,7,5,4,4,6,3,5,5,6,2,3,2
80,11,2,Multiracial,68124,Younger Group,Post Test,2019,6,5,6,5,5,6,5,7,5,6,6,5,6,6,6,5,6,6,6,3,7,6,6,6,6,3,3,3
81,11,2,Caucasian,68118,Younger Group,Post Test,2019,4,7,4,5,5,7,6,5,1,7,1,5,7,1,7,7,7,4,7,5,5,5,4,5,5,1,1,1
